code,acronym,title,year,amount_eur,duration_months,program,coordinator
ANR-25-CE07-3206,CNickel,Design de complexes nickel-NHC modulables pour la catalyse redox à couche ouverte,2025,,,ANR,UNIVERSITÉ CLAUDE BERNARD LYON 1
ANR-25-CE52-0614,PASTE,Pharmacotherapies for improving Arterial STructure-function in pathological conditions related to Elastic fiber alterations,2025,,,ANR,UNIVERSITÉ GRENOBLE ALPES - HYPOXIE PHYSIOPATHOLOGIE
ANR-25-CE40-1147,Coconut,"Corrélations en percolation, chaos et sensibilité au bruit",2025,,,ANR,UNIVERSITÉ GRENOBLE ALPES
ANR-25-CE37-2927,B2B,Décodeur comportement/cerveau par imagerie sémiologique,2025,,,ANR,Institut de Neurosciences des Systèmes
ANR-25-CE31-1396,CYPRESS,Matière carbonée solide dans les jeunes systèmes planétaines,2025,,,ANR,OBSERVATOIRE DE LA CÔTE D'AZUR NICE
ANR-25-CE13-2161,MAPping-BRAIN-ACTIN,Régulation de l'actine cérébrale par les protéines associées aux microtubules : comprendre la dynamique du neurocytosquelette.,2025,,,ANR,UNIVERSITÉ GRENOBLE ALPES
ANR-25-PEFO-0005,MALADAP-TREE,Assessing risks of maladaptation to climate change in French mountain forests.,2025,,,PIA ANR,Université Grenoble Alpes
iLAB-PXL-8483,ENHANCE LAB 2025,"ENHANCE LAB développe des solutions d’intelligence artificielle frugales et innovantes d’amélioration d’image telles que débruitage, super-résolution et imagerie à haute dynamique.",2025,,,i-LAB,
ANR-25-CE38-0917,TRAVERSEES,TRAVERSÉES : TRAjectoires de Vie : EnRichissement SÉmantique et Exploration Statistique,2025,,,ANR,UNIVERSITÉ GRENOBLE ALPES
ANR-25-CE36-2235,DaSTaTE,Exploration de l’impact des sources de données et des choix méthodologiques sur l’estimation de l’effet traitement par l’approche de l’essai cible émulé,2025,,,ANR,UNIVERSITÉ GRENOBLE ALPES
ANR-25-CE35-2526,MANDALA,Emergence d'une leishmaniose cutanée inhabituelle et de nouveaux foyers d'endémie à Leishmania donovani dans les montagnes Himalayennes - Déterminants biotiques et abiotiques.,2025,,,ANR,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT
ANR-25-CE35-1307,PlasmoHOST,L'adaptation à la cellule hôte est-elle la clé de la transmission du parasite du paludisme?,2025,,,ANR,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
ANR-25-CE19-6615,HYDROPSO,Conception et évaluation de dispositifs médicaux de délivrance d'H2 pour le traitement local du Psoriasis,2025,,,ANR,UNIVERSITÉ GRENOBLE ALPES
ANR-25-CE17-3948,FLACIL,Omique comparative inter-espèces : à la découverte de nouveaux gènes associés aux cils et flagelles,2025,,,ANR,CENTRE HOSPITALIER UNIVERSITAIRE GRENOBLE ALPES
ANR-25-CE07-0501,CASPI,Super reductions catalysées par des carbènes via la photoactivation directe des intermédiaires,2025,,,ANR,UNIVERSITÉ GRENOBLE ALPES
ANR-25-CE02-1712,HYDROGENOMIC,Interactions microbiennes avec l’hydrogène naturel dans les écosystèmes associés à la serpentinisation,2025,,,ANR,UNIVERSITÉ AIX-MARSEILLE
ANR-25-EXTR-0006,GLADAPT,Glacio-hydrological modelling and Adaptation with Differential Programming,2025,,,PIA ANR,CNRS Alpes (Grenoble)
ANR-25-CE53-2657,JADE,Justice algorithmique des élections,2025,,,ANR,CENTRE DE RECHERCHES JURIDIQUES EA1965
