reference,doi,title,year,type,journal,authors
hal-01154210,10.1515/9783111063973-002,The Institut de droit International’s response to the birth of the League of Nations,2024,Chapitre d'ouvrage,,Philippe Rygiel
hal-01287024,10.4171/lem/66-1/2-4,A linking invariant for algebraic curves,2020,Article,L'Enseignement Mathématique,Benoît Guerville-Ballé; Jean-Baptiste Meilhan
halshs-01403509,10.15122/isbn.978-2-406-09650-4.p.0201,Il ne fesoit point beau voir qu’un Espagnol tournast le dos à St Louys et à un roy de France,2020,Chapitre d'ouvrage,,Géraldine Lavieille
hal-01426353,10.5802/afst.1641,Solvable groups of interval exchange transformations,2020,Article,Annales de la Faculté des Sciences de Toulouse. Mathématiques.,François Dahmani; Koji Fujiwara; Vincent Guirardel
hal-01450032,10.4171/jems/950,Linear independence of values of G-functions,2020,Article,Journal of the European Mathematical Society,Stéphane Fischler; Tanguy Rivoal
hal-01501554,10.3917/scpo.hasse.2021.01.0173,La redéfinition des rapports centre-périphéries dans la crise. Comparaison européenne,2021,Chapitre d'ouvrage,,Claire Dupuy
halshs-01524167,10.4000/books.septentrion.128757,"Pouvoir, le mot juste",2022,Communication,,Sandrine Rui; Guillaume Gourgues
hal-01569926,10.1137/19m1291947,The Vortex Method for Two-Dimensional Ideal Flows in Exterior Domains,2020,Article,SIAM Journal on Mathematical Analysis,Diogo Arsénio; Emmanuel Dormy; Christophe Lacave
hal-01619300,10.1080/00927872.2020.1797066,Derived invariants for surface cut algebras II: the punctured case,2020,Article,Communications in Algebra,Claire Amiot; Daniel Labardini-Fragoso; Pierre-Guy Plamondon
hal-01627613,10.1111/rssc.12386,Inference for biomedical data using diffusion models with covariates and mixed effects,2020,Article,Journal of the Royal Statistical Society: Series C Applied Statistics,Mareile Große Ruse; Adeline Samson; Susanne Ditlevsen
hal-01633360,10.1016/j.jde.2020.02.028,Inverse inclusion problem: A stable method to determine disks,2020,Article,Journal of Differential Equations,Faouzi Triki; Chun-Hsiang Tsou
hal-01677966,10.1007/978-3-030-39200-0_4,"Coding human languages for long range communication in natural ecological environments: shouting, whistling and drumming",2020,Chapitre d'ouvrage,,Julien Meyer
halshs-01689188,10.4000/books.pressesinalco.31869,Les Titres Primordiaux (Historiographie),2020,Chapitre d'ouvrage,,Nadine Beligand
hal-01693333,10.1007/s13171-019-00187-y,Approximating predictive probabilities of Gibbs-type priors,2021,Article,Sankhya A,Julyan Arbel; Stefano Favaro
hal-01708231,10.4171/rmi/1120,Uniqueness of the solution to the 2D Vlasov-Navier-Stokes system,2020,Article,Revista Matemática Iberoamericana,Daniel Han-Kwan; Evelyne Miot; Ayman Moussa; Iván Moyano
hal-01709734,10.57262/ade/1556762455,INSTABILITY OF INFINITELY-MANY STATIONARY SOLUTIONS OF THE SU (2) YANG-MILLS FIELDS ON THE EXTERIOR OF THE SCHWARZSCHILD BLACK HOLE,2019,Article,Advances in Differential Equations,Cécile Huneau; Dietrich Häfner
hal-01757842,10.1002/jgt.22646,Single‐conflict colouring,2021,Article,Journal of Graph Theory,Zdeněk Dvořák; Louis Esperet; Ross J. Kang; Kenta Ozeki
hal-01315332,10.2422/2036-2145.201710_004,Horosphere topology,2020,Autre,,Filippo Bracci; Hervé Gaussier
hal-01768400,10.1007/s12220-020-00426-x,Hilbert metric without convexity,2020,Article,The Journal of Geometric Analysis,Elisha Falbel; Antonin Guilloux; Pierre Will
hal-01769466,10.1109/intmag.2005.1463552,Improved patterned media for probe-based HAMR,2022,Communication,,E. Algré; Gilles Gaudin; Ahmad Bsiesy; J.P. Nozières
hal-01690400,10.1109/tac.2019.2945878,Quadratic Optimal Control of Linear Complementarity Systems: First order necessary conditions and numerical analysis,2020,Article,IEEE Transactions on Automatic Control,Alexandre Vieira; Bernard Brogliato; Christophe Prieur
hal-01784893,10.1007/s10961-017-9605-9,Counting what really counts? Assessing the political impact of science,2022,Article,Journal of Technology Transfer,Ariane Gaunand; Laurence Colinet; Pierre Benoit Joly; Mireille Matt
hal-01784894,10.1007/s10961-017-9601-0,Towards a new generation of Research Impact Assessment approaches,2022,Article,Journal of Technology Transfer,Pierre Benoit Joly; Mireille Matt
hal-01799855,10.3917/pug.brech.2020.03.0092,L’athéisme des scientifiques français : conséquence de leur amour de la science et de leur socialisation politique,2020,Chapitre d'ouvrage,,Abel François; Raul Magni Berton
hal-01810700,10.1007/978-3-030-43511-0_68,Article 67 [Establishing the AFSJ],2021,Chapitre d'ouvrage,,Constance Chevallier-Govers
hal-01810705,10.1007/978-3-030-43511-0_69,Article 68 [Strategic Guidelines],2021,Chapitre d'ouvrage,,Constance Chevallier-Govers
hal-01810708,10.1007/978-3-030-43511-0_77,Article 76 [Legislative Initiative],2021,Chapitre d'ouvrage,,Constance Chevallier-Govers
hal-01820213,10.3726/b16331/18,Christianity across Eurasian borders,2020,Chapitre d'ouvrage,,Brigitte Vassort-Rousset
hal-01828230,10.1109/tr.2019.2906732,A generic framework for generalized virtual age models,2020,Article,IEEE Transactions on Reliability,Laurent Doyen; Rémy Drouilhet; Léa Brenière
hal-01818946,10.1051/0004-6361/201832817,The SPHERE view of Wolf-Rayet 104,2020,Article,Astronomy & Astrophysics - A&A,A. Soulain; F. Millour; B. Lopez; A. Matter; Erwan M Lagadec; M. Carbillet et al.
hal-01864628,10.3390/axioms10010017,A three-phase fundamental diagram from three-dimensional traffic data,2021,Article,Axioms,Maria Laura Delle Monache; Karen Chi; Yong Chen; Paola Goatin; Ke Han; Jing-Mei Qiu et al.
hal-01867433,10.1142/9789811258251_0302,Detailed background dynamics and trans-planckian effects in loop quantum cosmology,2022,Communication,,Killian Martineau
hal-01875946,10.1137/18m1214123,Multifidelity Dimension Reduction via Active Subspaces,2020,Article,SIAM Journal on Scientific Computing,Rémi Lam; Olivier Zahm; Youssef Marzouk; Karen Willcox
